palabras,tf-idf_politica
ley,0.23546243739411912
gobierno,0.17609125905568124
pp,0.16110587821702888
general,0.13632035849133212
psoe,0.13632035849133212
consejo,0.13012397855990793
casado,0.13012397855990793
sánchez,0.12392759862848374
líder,0.11153483876563537
díaz,0.11153483876563537
congreso,0.11153483876563537
política,0.10533845883421118
reforma,0.099142078902787
pedro,0.099142078902787
ministros,0.099142078902787
ministra,0.099142078902787
fuentes,0.099142078902787
fiscal,0.099142078902787
nacional,0.09294569897136282
electoral,0.09294569897136282
ejecutivo,0.09294569897136282
agentes,0.09294569897136282
izquierda,0.08674931903993863
tribunal,0.08674931903993863
octubre,0.08674931903993863
moncloa,0.08674931903993863
presidenta,0.08055293910851444
ayuso,0.08055293910851444
actual,0.08055293910851444
generales,0.08055293910851444
popular,0.08055293910851444
seguridad,0.08055293910851444
relación,0.08055293910851444
euros,0.0754676824524348
público,0.07435655917709025
metros,0.07435655917709025
presupuestos,0.07435655917709025
justicia,0.07435655917709025
vasco,0.07435655917709025
noviembre,0.07435655917709025
formación,0.07435655917709025
proyecto,0.07435655917709025
franco,0.07435655917709025
san,0.07435655917709025
menor,0.07435655917709025
partido,0.06860698404766802
cuenta,0.06816017924566606
diciembre,0.06816017924566606
haya,0.06816017924566606
derechos,0.06816017924566606
montero,0.06816017924566606
nuevos,0.06816017924566606
marco,0.06816017924566606
portavoz,0.06816017924566606
manuel,0.06816017924566606
socialista,0.06816017924566606
personal,0.06816017924566606
pablo,0.06816017924566606
cádiz,0.06816017924566606
tenido,0.06816017924566606
supremo,0.06816017924566606
democracia,0.06816017924566606
ministerio,0.06403318511115681
respecto,0.06196379931424187
secretario,0.06196379931424187
país,0.05717248670639001
presidente,0.05488558723813441
vez,0.05031178830162321
lunes,0.04345108989685641
millones,0.04116419042860081
acuerdo,0.04116419042860081
meses,0.03887729096034521
semana,0.03659039149208961
casos,0.03430349202383401
covid,0.03430349202383401
