palabras,tf-idf_deportes
equipo,0.4272727654205932
mejor,0.3204545740654449
real,0.2848485102803955
fútbol,0.2634848720093658
temporada,0.25636365925235594
carrera,0.23500002098132627
final,0.2207575954673065
juego,0.20651516995328673
club,0.19939395719627684
momento,0.19227274443926695
jugador,0.18515153168225706
gran,0.18515153168225706
psg,0.17803031892524718
champions,0.17803031892524718
historia,0.17803031892524718
ver,0.1709091061682373
ganar,0.1637878934112274
deporte,0.15666668065421752
jugadores,0.15666668065421752
puntos,0.14954546789720763
entrenador,0.14954546789720763
vida,0.14242425514019774
español,0.14242425514019774
benzema,0.14242425514019774
competición,0.13530304238318785
barcelona,0.13530304238318785
ferrari,0.13530304238318785
partido,0.12878315960788628
mundial,0.12818182962617797
futbolista,0.12818182962617797
florentino,0.12818182962617797
mejores,0.12106061686916808
league,0.12106061686916808
grandes,0.1139394041121582
problemas,0.1139394041121582
cosas,0.1139394041121582
tuvo,0.1139394041121582
minutos,0.1139394041121582
piloto,0.1139394041121582
mclaren,0.1139394041121582
quien,0.1139394041121582
ramos,0.1139394041121582
última,0.1139394041121582
después,0.10775733763108852
rival,0.1068181913551483
primer,0.1068181913551483
haber,0.1068181913551483
dio,0.1068181913551483
pochettino,0.1068181913551483
sigue,0.1068181913551483
vez,0.09987265438978936
dar,0.09969697859813842
gol,0.09969697859813842
victoria,0.09969697859813842
balón,0.09969697859813842
positivo,0.09969697859813842
muerte,0.09969697859813842
hoy,0.09969697859813842
kroos,0.09969697859813842
alonso,0.09257576584112853
título,0.09257576584112853
cómo,0.09257576584112853
fórmula,0.09257576584112853
cambio,0.08545455308411865
difícil,0.08545455308411865
pilotos,0.08545455308411865
pudo,0.08545455308411865
pese,0.08545455308411865
todavía,0.08545455308411865
medio,0.08545455308411865
tenía,0.08545455308411865
messi,0.08545455308411865
liga,0.08545455308411865
partidos,0.08545455308411865
familia,0.08545455308411865
casa,0.08545455308411865
durante,0.07096214917169244
mundo,0.06833392142459271
últimos,0.04467987170069524
nivel,0.04205164395359552
presidente,0.04205164395359552
millones,0.04205164395359552
horas,0.0394234162064958
euros,0.0394234162064958
fuera,0.03153873296519664
noviembre,0.0
total,0.0
virus,0.0
nueva,0.0
díaz,0.0
caso,0.0
restricciones,0.0
región,0.0
actual,0.0
izquierda,0.0
pp,0.0
mascarillas,0.0
justicia,0.0
seis,0.0
san,0.0
